DC_ID,Node1,Node2,EPANET,Diameter,Length,Roughness,Minorloss,Status,Material,Zone,DateMapped,Dia_Inch,Network,Inst_Date,ServiceSta,Remarks,Ext_Overha,Nodel1,Nodel2,Dia_DN,Dia Inch,FID,layer,path
124.802622,,,Y,75,124.803,0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
189.539652,,,Y,75,189.540,0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1189.23267,,,Y,75,1189.233,0,0.1,OPEN,PVC,KREKAJ,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
192.831983,,,Y,100,192.832,0,0.1,OPEN,PVC,KREKAJ,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
65.4541200,,,Y,150,65.454,0,0.1,OPEN,PVC,KREKAJ,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
238.049821,,,Y,20,238.050,0,0.1,OPEN,PVC,MYT,2014,0.75,Service Line,N/A,In Service,N/A,No,,,,,,,
495.082983,,,Y,40,495.083,0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
172.915800,,,Y,40,172.916,0,0.1,OPEN,PVC,KREKAJ,2014,1.50,Distribution Main,N/A,In Service,N/A,No,,,,,,,
83.3847387,,,Y,32,83.385,0,0.1,OPEN,PVC,MYT,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
405.074509,,,Y,32,405.075,0,0.1,OPEN,PVC,MYT,2014,1.25,Distribution Main,N/A,In Service,N/A,No,,,,,,,
201.793055,,,Y,32,201.793,0,0.1,OPEN,PVC,KREKAJ,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
89.9698946,,,Y,32,89.970,0,0.1,OPEN,PVC,KREKAJ,2014,1.25,Service Line,N/A,In Service,N/A,No,,,,,,,
368.362862,,,Y,75,368.363,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,To be replaced by PVC,No,,,,,,,
303.613138,,,Y,75,303.613,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
159.586765,,,Y,75,159.587,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
233.884689,,,Y,75,233.885,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
606.482655,,,Y,100,606.483,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
29.4440517,,,Y,100,29.444,0,0.1,OPEN,GI,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
30.6153528,,,Y,100,30.615,0,0.1,OPEN,GI,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
302.146135,,,Y,100,302.146,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
135.672988,,,Y,100,135.673,0,0.1,OPEN,PVC,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
16.3025223,,,Y,75,16.303,0,0.1,OPEN,AC,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
100.516316,,,Y,75,100.516,0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
684.348178,,,Y,75,684.348,0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
97.9014237,,,Y,100,97.901,0,0.1,OPEN,PVC,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
682.543206,,,Y,75,682.543,0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
681.468908,,,Y,75,681.469,0,0.1,OPEN,GI,MIL,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
251.347013,,,Y,75,251.347,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
58.8944231,,,Y,100,58.894,0,0.1,OPEN,PVC,MIL,2014,4.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
1.68601936,,,Y,25,1.686,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,N/A,In Service,N/A,No,,,,,,,
188.867533,,,Y,150,188.868,0,0.1,OPEN,PVC,ME,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
360.053911,,,Y,75,360.054,0,0.1,OPEN,GI,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
82.5362008,,,Y,50,82.536,0,0.1,OPEN,PVC,ME,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
214.613108,,,Y,50,214.613,0,0.1,OPEN,GI,ME,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
338.980596,,,Y,100,338.981,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,LTAP Lines,No,,,,,,,
46.2580733,,,Y,75,46.258,0,0.1,OPEN,AC,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
417.757446,,,Y,75,417.757,0,0.1,OPEN,PVC,ME,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
437.921808,,,Y,50,437.922,0,0.1,OPEN,PVC,ME,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
574.539867,,,Y,100,574.540,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,LTAP Lines,No,,,,,,,
217.713637,,,Y,100,217.714,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,LTAP Lines,No,,,,,,,
728.712729,,,Y,100,728.713,0,0.1,OPEN,PVC,ME,2014,4.00,Distribution Main,N/A,In Service,LTAP Lines,No,,,,,,,
31.3831616,,,Y,50,31.383,0,0.1,OPEN,PVC,ME,2014,2.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
11.2876124,,,Y,20,11.288,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,05.2014,In Service,N/A,No,,,,,,,
59.1935264,,,Y,20,59.194,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,05.2014,In Service,N/A,No,,,,,,,
12.9817485,,,Y,20,12.982,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,05.2014,In Service,N/A,No,,,,,,,
24.9009854,,,Y,40,24.901,0,0.1,OPEN,PVC,MYT,2014,1.50,Distribution Main,05.2014,In Service,Supplies 'spaghettis',No,,,,,,,
2.02810454,,,Y,20,2.028,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,05.2014,In Service,N/A,No,,,,,,,
1.75088322,,,Y,25,1.751,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,05.2014,In Service,N/A,No,,,,,,,
32.6893665,,,Y,25,32.689,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,05.2014,In Service,N/A,No,,,,,,,
18.7392143,,,Y,25,18.739,0,0.1,OPEN,PVC,ME,2014,1.00,Service Line,05.2014,In Service,N/A,No,,,,,,,
27.8762251,,,Y,20,27.876,0,0.1,OPEN,PVC,ME,2014,0.75,Service Line,N/A,Out of service,N/A,No,,,,,,,
240.687133,,,Y,75,240.687,0,0.1,OPEN,GI,CBD,2014,3.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
241.655955,,,Y,150,241.656,0,0.1,OPEN,AC,CBD,2014,6.00,Distribution Main,N/A,In Service,N/A,No,,,,,,,
241.275477,,,Y,75,241.275,0,0.1,OPEN,PVC,MIL,2014,3.00,Distribution Main,09.2014,In Service,N/A,No,,,,,,,
65.3933002,,,Y,75,65.393,0,0.1,OPEN,GI,MYT,2014,3.00,Service Line,N/A,In Service,N/A,No,,,,,,,
447.945079,,,Y,250,447.945,0,0.1,OPEN,Steel,CBD,2014,10.00,Distribution Main,2014,In Service,LTAP Lines,No,,,,,,,
36.5481709,,,N,225,36.548,0,0.1,OPEN,GI,MIL,2014,9.00,Transmission Main,N/A,In Service,N/A,No,,,,,,,
